IdNotaFiscal: 2, TESTE-P2            TESTE-P3            TESTE-P4            ,TESTE-P2            , TESTE-P3            , TESTE-P4            
IdNotaFiscal: 2, TESTE-P2            TESTE-P3            TESTE-P1            ,TESTE-P2            , TESTE-P3            , TESTE-P1            
IdNotaFiscal: 2, TESTE-P2            TESTE-P4            TESTE-P1            ,TESTE-P2            , TESTE-P4            , TESTE-P1            
IdNotaFiscal: 2, TESTE-P3            TESTE-P4            TESTE-P1            ,TESTE-P3            , TESTE-P4            , TESTE-P1            
IdNotaFiscal: 3, TESTE-P2            TESTE-P3            TESTE-P4            ,TESTE-P2            , TESTE-P3            , TESTE-P4            
IdNotaFiscal: 3, TESTE-P2            TESTE-P3            TESTE-PP1           ,TESTE-P2            , TESTE-P3            , TESTE-PP1           
IdNotaFiscal: 3, TESTE-P2            TESTE-P4            TESTE-PP1           ,TESTE-P2            , TESTE-P4            , TESTE-PP1           
IdNotaFiscal: 3, TESTE-P3            TESTE-P4            TESTE-PP1           ,TESTE-P3            , TESTE-P4            , TESTE-PP1           
IdNotaFiscal: 4, TESTE-PP2           TESTE-PP3           TESTE-PP4           ,TESTE-PP2           , TESTE-PP3           , TESTE-PP4           
IdNotaFiscal: 4, TESTE-PP2           TESTE-PP3           TESTE-P4            ,TESTE-PP2           , TESTE-PP3           , TESTE-P4            
IdNotaFiscal: 4, TESTE-PP2           TESTE-PP4           TESTE-P4            ,TESTE-PP2           , TESTE-PP4           , TESTE-P4            
IdNotaFiscal: 4, TESTE-PP3           TESTE-PP4           TESTE-P4            ,TESTE-PP3           , TESTE-PP4           , TESTE-P4            
IdNotaFiscal: 5, TESTE-P3            TESTE-P2            TESTE-P1            ,TESTE-P3            , TESTE-P2            , TESTE-P1            
IdNotaFiscal: 5, TESTE-P3            TESTE-P2            87361042,TESTE-P3            , TESTE-P2            , 87361042
IdNotaFiscal: 5, TESTE-P3            TESTE-P1            87361042,TESTE-P3            , TESTE-P1            , 87361042
IdNotaFiscal: 5, TESTE-P2            TESTE-P1            87361042,TESTE-P2            , TESTE-P1            , 87361042
IdNotaFiscal: 22, 1240016230078/1            631556,1240016, 230078/1            , 631556
IdNotaFiscal: 22, 1240016230078/1            439083,1240016, 230078/1            , 439083
IdNotaFiscal: 22, 1240016230078/1            352773,1240016, 230078/1            , 352773
IdNotaFiscal: 22, 1240016230078/1            80000109,1240016, 230078/1            , 80000109
IdNotaFiscal: 22, 1240016230078/1            210033,1240016, 230078/1            , 210033
IdNotaFiscal: 22, 1240016230078/1            84000002,1240016, 230078/1            , 84000002
IdNotaFiscal: 22, 1240016230078/1            MATESCRITORIO       ,1240016, 230078/1            , MATESCRITORIO       
IdNotaFiscal: 22, 1240016631556439083,1240016, 631556, 439083
IdNotaFiscal: 22, 1240016631556352773,1240016, 631556, 352773
IdNotaFiscal: 22, 124001663155680000109,1240016, 631556, 80000109
IdNotaFiscal: 22, 1240016631556210033,1240016, 631556, 210033
IdNotaFiscal: 22, 124001663155684000002,1240016, 631556, 84000002
IdNotaFiscal: 22, 1240016631556MATESCRITORIO       ,1240016, 631556, MATESCRITORIO       
IdNotaFiscal: 22, 1240016439083352773,1240016, 439083, 352773
IdNotaFiscal: 22, 124001643908380000109,1240016, 439083, 80000109
IdNotaFiscal: 22, 1240016439083210033,1240016, 439083, 210033
IdNotaFiscal: 22, 124001643908384000002,1240016, 439083, 84000002
IdNotaFiscal: 22, 1240016439083MATESCRITORIO       ,1240016, 439083, MATESCRITORIO       
IdNotaFiscal: 22, 124001635277380000109,1240016, 352773, 80000109
IdNotaFiscal: 22, 1240016352773210033,1240016, 352773, 210033
IdNotaFiscal: 22, 124001635277384000002,1240016, 352773, 84000002
IdNotaFiscal: 22, 1240016352773MATESCRITORIO       ,1240016, 352773, MATESCRITORIO       
IdNotaFiscal: 22, 124001680000109210033,1240016, 80000109, 210033
IdNotaFiscal: 22, 12400168000010984000002,1240016, 80000109, 84000002
IdNotaFiscal: 22, 124001680000109MATESCRITORIO       ,1240016, 80000109, MATESCRITORIO       
IdNotaFiscal: 22, 124001621003384000002,1240016, 210033, 84000002
IdNotaFiscal: 22, 1240016210033MATESCRITORIO       ,1240016, 210033, MATESCRITORIO       
IdNotaFiscal: 22, 124001684000002MATESCRITORIO       ,1240016, 84000002, MATESCRITORIO       
IdNotaFiscal: 22, 230078/1            631556439083,230078/1            , 631556, 439083
IdNotaFiscal: 22, 230078/1            631556352773,230078/1            , 631556, 352773
IdNotaFiscal: 22, 230078/1            63155680000109,230078/1            , 631556, 80000109
IdNotaFiscal: 22, 230078/1            631556210033,230078/1            , 631556, 210033
IdNotaFiscal: 22, 230078/1            63155684000002,230078/1            , 631556, 84000002
